Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.188676, 0, 0, 0, 0, 0, 2, 0 
0.188676, 2, 0, 0, 0, 0, 2, 1 
0.294280, 2, 0, 0, 0, 0, 3, 1 
0.294280, 4, 0, 0, 0, 0, 3, 2 
0.500420, 6, 0, 0, 0, 0, 3, 3 
1.632786, 6, 0, 0, 0, 0, 4, 3 
1.632786, 8, 0, 0, 0, 0, 4, 4 
1.960583, 8, 0, 0, 0, 0, 5, 4 
2.132206, 10, 0, 0, 0, 0, 5, 5 
2.164977, 10, 0, 0, 0, 0, 6, 5 
2.192327, 10, 0, 0, 0, 0, 7, 5 
2.192327, 12, 0, 0, 0, 0, 7, 6 
2.518728, 12, 0, 0, 0, 0, 8, 6 
2.518789, 14, 0, 0, 0, 0, 8, 7 
3.267478, 14, 0, 0, 0, 0, 9, 7 
3.274221, 16, 0, 0, 0, 0, 9, 8 
3.574925, 16, 0, 0, 0, 0, 10, 8 
3.574925, 18, 0, 0, 0, 0, 10, 9 
3.876138, 18, 0, 0, 0, 0, 11, 9 
3.876138, 20, 0, 0, 0, 0, 11, 10 
4.011037, 20, 0, 0, 0, 0, 12, 10 
4.011037, 22, 0, 0, 0, 0, 12, 11 
4.374754, 22, 0, 0, 0, 0, 13, 11 
4.378198, 24, 0, 0, 0, 0, 13, 12 
4.760120, 24, 0, 0, 0, 0, 14, 12 
4.760603, 26, 0, 0, 0, 0, 14, 13 
5.095213, 26, 0, 0, 0, 0, 15, 13 
5.403691, 28, 0, 0, 0, 0, 15, 14 
5.809047, 28, 0, 0, 0, 0, 16, 14 
5.809049, 30, 0, 0, 0, 0, 16, 15 
5.854374, 30, 0, 0, 0, 0, 17, 15 
5.858858, 32, 0, 0, 0, 0, 17, 16 
5.981905, 32, 0, 0, 0, 0, 18, 16 
5.981905, 34, 0, 0, 0, 0, 18, 17 
6.345978, 34, 0, 0, 0, 0, 19, 17 
6.345978, 36, 0, 0, 0, 0, 19, 18 
6.473211, 36, 0, 0, 0, 0, 20, 18 
6.476756, 38, 0, 0, 0, 0, 20, 19 
6.546907, 38, 0, 0, 0, 0, 21, 19 
6.667153, 38, 0, 0, 0, 0, 22, 19 
7.522399, 40, 0, 0, 0, 0, 22, 20 
7.557476, 40, 0, 0, 0, 0, 23, 20 
7.557476, 42, 0, 0, 0, 0, 23, 21 
8.395559, 42, 0, 0, 0, 0, 24, 21 
8.395559, 44, 0, 0, 0, 0, 24, 22 
8.417379, 44, 0, 0, 0, 0, 25, 22 
8.417379, 46, 0, 0, 0, 0, 25, 23 
8.515467, 46, 0, 0, 0, 0, 26, 23 
8.515467, 48, 0, 0, 0, 0, 26, 24 
8.541374, 48, 0, 0, 0, 0, 27, 24 
8.543132, 50, 0, 0, 0, 0, 27, 25 
8.653315, 50, 0, 0, 0, 0, 28, 25 
8.653507, 52, 0, 0, 0, 0, 28, 26 
8.695094, 52, 0, 0, 0, 0, 29, 26 
8.695094, 54, 0, 0, 0, 0, 29, 27 
8.757017, 54, 0, 0, 0, 0, 30, 27 
8.783208, 56, 0, 0, 0, 0, 30, 28 
8.785514, 56, 0, 0, 0, 0, 31, 28 
8.785514, 58, 0, 0, 0, 0, 31, 29 
8.801901, 58, 0, 0, 0, 0, 32, 29 
8.801948, 60, 0, 0, 0, 0, 32, 30 
9.066950, 60, 0, 0, 0, 0, 33, 30 
9.101839, 62, 0, 0, 0, 0, 33, 31 
9.114116, 62, 0, 0, 0, 0, 34, 31 
9.114116, 64, 0, 0, 0, 0, 34, 32 
9.364325, 64, 0, 0, 0, 0, 35, 32 
9.376598, 66, 0, 0, 0, 0, 35, 33 
