Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.193638, 0, 0, 0, 0, 0, 2, 0 
0.193644, 2, 0, 0, 0, 0, 2, 1 
0.199700, 2, 0, 0, 0, 0, 3, 1 
0.202599, 2, 0, 0, 0, 0, 4, 1 
0.202599, 4, 0, 0, 0, 0, 4, 2 
0.363224, 6, 0, 0, 0, 0, 4, 3 
0.389552, 6, 0, 0, 0, 0, 5, 3 
0.389552, 8, 0, 0, 0, 0, 5, 4 
0.513226, 8, 0, 0, 0, 0, 6, 4 
0.513529, 10, 0, 0, 0, 0, 6, 5 
0.996647, 10, 0, 0, 0, 0, 7, 5 
0.996709, 12, 0, 0, 0, 0, 7, 6 
1.286954, 12, 0, 0, 0, 0, 8, 6 
1.286954, 14, 0, 0, 0, 0, 8, 7 
1.675335, 14, 0, 0, 0, 0, 9, 7 
1.675387, 16, 0, 0, 0, 0, 9, 8 
1.721362, 16, 0, 0, 0, 0, 10, 8 
1.721362, 18, 0, 0, 0, 0, 10, 9 
1.755118, 18, 0, 0, 0, 0, 11, 9 
3.710975, 18, 0, 0, 0, 0, 12, 9 
3.728063, 20, 0, 0, 0, 0, 12, 10 
3.738570, 20, 0, 0, 0, 0, 13, 10 
3.738827, 22, 0, 0, 0, 0, 13, 11 
4.379383, 22, 0, 0, 0, 0, 14, 11 
4.386254, 24, 0, 0, 0, 0, 14, 12 
4.386880, 24, 0, 0, 0, 0, 15, 12 
4.391166, 26, 0, 0, 0, 0, 15, 13 
7.217388, 26, 0, 0, 0, 0, 16, 13 
7.236580, 28, 0, 0, 0, 0, 16, 14 
7.357144, 28, 0, 0, 0, 0, 17, 14 
7.357144, 30, 0, 0, 0, 0, 17, 15 
7.358044, 30, 0, 0, 0, 0, 18, 15 
7.470154, 30, 0, 0, 0, 0, 19, 15 
7.470154, 32, 0, 0, 0, 0, 19, 16 
7.470862, 32, 0, 0, 0, 0, 20, 16 
7.472847, 32, 0, 0, 0, 0, 21, 16 
7.472847, 34, 0, 0, 0, 0, 21, 17 
7.773518, 34, 0, 0, 0, 0, 22, 17 
7.938903, 36, 0, 0, 0, 0, 22, 18 
8.173583, 36, 0, 0, 0, 0, 23, 18 
8.173587, 38, 0, 0, 0, 0, 23, 19 
8.181361, 38, 0, 0, 0, 0, 24, 19 
8.200356, 38, 0, 0, 0, 0, 25, 19 
8.232099, 38, 0, 0, 0, 0, 26, 19 
8.232108, 40, 0, 0, 0, 0, 26, 20 
8.263970, 42, 0, 0, 0, 0, 26, 21 
8.267131, 42, 0, 0, 0, 0, 27, 21 
8.436713, 44, 0, 0, 0, 0, 27, 22 
8.516557, 44, 0, 0, 0, 0, 28, 22 
8.518952, 46, 0, 0, 0, 0, 28, 23 
8.630717, 48, 0, 0, 0, 0, 28, 24 
8.660694, 48, 0, 0, 0, 0, 29, 24 
8.661248, 50, 0, 0, 0, 0, 29, 25 
8.790050, 50, 0, 0, 0, 0, 30, 25 
8.790050, 52, 0, 0, 0, 0, 30, 26 
8.811890, 52, 0, 0, 0, 0, 31, 26 
8.811890, 54, 0, 0, 0, 0, 31, 27 
8.813611, 54, 0, 0, 0, 0, 32, 27 
8.899847, 54, 0, 0, 0, 0, 33, 27 
8.899847, 56, 0, 0, 0, 0, 33, 28 
10.052804, 56, 0, 0, 0, 0, 34, 28 
10.055745, 58, 0, 0, 0, 0, 34, 29 
10.617244, 58, 0, 0, 0, 0, 35, 29 
10.617244, 60, 0, 0, 0, 0, 35, 30 
10.827115, 60, 0, 0, 0, 0, 36, 30 
10.827616, 62, 0, 0, 0, 0, 36, 31 
10.864137, 62, 0, 0, 0, 0, 37, 31 
10.864137, 64, 0, 0, 0, 0, 37, 32 
10.903090, 64, 0, 0, 0, 0, 38, 32 
10.951186, 64, 0, 0, 0, 0, 39, 32 
10.951887, 66, 0, 0, 0, 0, 39, 33 
11.005314, 66, 0, 0, 0, 0, 40, 33 
11.185742, 68, 0, 0, 0, 0, 40, 34 
11.454847, 68, 0, 0, 0, 0, 41, 34 
11.454848, 70, 0, 0, 0, 0, 41, 35 
11.460993, 70, 0, 0, 0, 0, 42, 35 
11.460993, 72, 0, 0, 0, 0, 42, 36 
12.010809, 74, 0, 0, 0, 0, 42, 37 
12.652542, 74, 0, 0, 0, 0, 43, 37 
12.652572, 76, 0, 0, 0, 0, 43, 38 
12.789707, 76, 0, 0, 0, 0, 44, 38 
12.789707, 78, 0, 0, 0, 0, 44, 39 
12.792720, 78, 0, 0, 0, 0, 45, 39 
12.811629, 78, 0, 0, 0, 0, 46, 39 
12.811799, 80, 0, 0, 0, 0, 46, 40 
13.104254, 80, 0, 0, 0, 0, 47, 40 
13.104254, 82, 0, 0, 0, 0, 47, 41 
13.211151, 82, 0, 0, 0, 0, 48, 41 
13.211151, 84, 0, 0, 0, 0, 48, 42 
13.469557, 84, 0, 0, 0, 0, 49, 42 
13.469557, 86, 0, 0, 0, 0, 49, 43 
13.511570, 86, 0, 0, 0, 0, 50, 43 
13.511570, 88, 0, 0, 0, 0, 50, 44 
13.818608, 88, 0, 0, 0, 0, 51, 44 
13.818609, 90, 0, 0, 0, 0, 51, 45 
14.161498, 90, 0, 0, 0, 0, 52, 45 
14.161597, 92, 0, 0, 0, 0, 52, 46 
14.318173, 92, 0, 0, 0, 0, 53, 46 
