Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.688189, 2, 0, 0, 0, 0, 1, 1 
3.177907, 2, 0, 0, 0, 0, 2, 1 
3.177908, 4, 0, 0, 0, 0, 2, 2 
13.094625, 4, 0, 0, 0, 0, 3, 2 
13.094641, 6, 0, 0, 0, 0, 3, 3 
13.218452, 6, 0, 0, 0, 0, 4, 3 
13.221215, 8, 0, 0, 0, 0, 4, 4 
42.850080, 8, 0, 0, 0, 0, 5, 4 
42.879627, 10, 0, 0, 0, 0, 5, 5 
42.983346, 10, 0, 0, 0, 0, 6, 5 
42.983346, 12, 0, 0, 0, 0, 6, 6 
43.754745, 12, 0, 0, 0, 0, 7, 6 
43.803827, 12, 0, 0, 0, 0, 8, 6 
43.803827, 14, 0, 0, 0, 0, 8, 7 
43.823461, 14, 0, 0, 0, 0, 9, 7 
43.825111, 16, 0, 0, 0, 0, 9, 8 
43.825180, 18, 0, 0, 0, 0, 9, 9 
43.865181, 18, 0, 0, 0, 0, 10, 9 
43.865832, 20, 0, 0, 0, 0, 10, 10 
52.884526, 20, 0, 0, 0, 0, 11, 10 
52.884526, 22, 0, 0, 0, 0, 11, 11 
52.898522, 22, 0, 0, 0, 0, 12, 11 
52.898522, 24, 0, 0, 0, 0, 12, 12 
156.162970, 22, 0, 1, 0, 0, 12, 12 
223.390130, 22, 0, 1, 0, 0, 13, 12 
223.390130, 24, 0, 1, 0, 0, 13, 13 
223.422560, 24, 0, 1, 0, 0, 14, 13 
224.635476, 26, 0, 1, 0, 0, 14, 14 
297.440513, 26, 0, 1, 0, 0, 15, 14 
297.440610, 28, 0, 1, 0, 0, 15, 15 
335.765045, 28, 0, 1, 0, 0, 16, 15 
335.767089, 30, 0, 1, 0, 0, 16, 16 
335.904492, 30, 0, 1, 0, 0, 17, 16 
335.904492, 32, 0, 1, 0, 0, 17, 17 
335.906656, 32, 0, 1, 0, 0, 18, 17 
335.912762, 34, 0, 1, 0, 0, 18, 18 
339.487738, 34, 0, 1, 0, 0, 19, 18 
339.503097, 36, 0, 1, 0, 0, 19, 19 
347.661796, 36, 0, 1, 0, 0, 20, 19 
347.662713, 38, 0, 1, 0, 0, 20, 20 
347.676125, 38, 0, 1, 0, 0, 21, 20 
347.676125, 40, 0, 1, 0, 0, 21, 21 
350.578699, 40, 0, 1, 0, 0, 22, 21 
350.578699, 42, 0, 1, 0, 0, 22, 22 
387.156682, 40, 0, 2, 0, 0, 22, 22 
472.736570, 38, 0, 3, 0, 0, 22, 22 
566.226101, 38, 0, 3, 0, 0, 23, 22 
566.228169, 40, 0, 3, 0, 0, 23, 23 
566.264136, 40, 0, 3, 0, 0, 24, 23 
566.266391, 42, 0, 3, 0, 0, 24, 24 
566.544301, 42, 0, 3, 0, 0, 25, 24 
566.544301, 44, 0, 3, 0, 0, 25, 25 
569.051499, 44, 0, 3, 0, 0, 26, 25 
569.053698, 46, 0, 3, 0, 0, 26, 26 
569.133930, 46, 0, 3, 0, 0, 27, 26 
569.134494, 48, 0, 3, 0, 0, 27, 27 
578.759081, 48, 0, 3, 0, 0, 28, 27 
578.759091, 50, 0, 3, 0, 0, 28, 28 
580.947479, 50, 0, 3, 0, 0, 29, 28 
580.947709, 52, 0, 3, 0, 0, 29, 29 
631.765392, 50, 0, 4, 0, 0, 29, 29 
639.263130, 50, 0, 4, 0, 0, 30, 29 
639.263251, 52, 0, 4, 0, 0, 30, 30 
648.602144, 50, 0, 5, 0, 0, 30, 30 
664.925070, 50, 0, 5, 0, 0, 31, 30 
665.055933, 52, 0, 5, 0, 0, 31, 31 
666.652042, 52, 0, 5, 0, 0, 32, 31 
666.652044, 54, 0, 5, 0, 0, 32, 32 
666.732145, 54, 0, 5, 0, 0, 33, 32 
666.732145, 56, 0, 5, 0, 0, 33, 33 
669.558299, 56, 0, 5, 0, 0, 34, 33 
669.558299, 58, 0, 5, 0, 0, 34, 34 
669.559860, 58, 0, 5, 0, 0, 35, 34 
670.236435, 60, 0, 5, 0, 0, 35, 35 
708.096932, 60, 0, 5, 0, 0, 36, 35 
