Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.113900, 0, 0, 0, 0, 0, 2, 0 
0.113901, 2, 0, 0, 0, 0, 2, 1 
0.862362, 2, 0, 0, 0, 0, 3, 1 
0.862362, 4, 0, 0, 0, 0, 3, 2 
0.901567, 4, 0, 0, 0, 0, 4, 2 
0.901567, 6, 0, 0, 0, 0, 4, 3 
0.915626, 6, 0, 0, 0, 0, 5, 3 
1.004136, 6, 0, 0, 0, 0, 6, 3 
1.004136, 8, 0, 0, 0, 0, 6, 4 
1.185518, 8, 0, 0, 0, 0, 7, 4 
1.186231, 10, 0, 0, 0, 0, 7, 5 
1.466621, 10, 0, 0, 0, 0, 8, 5 
1.467177, 12, 0, 0, 0, 0, 8, 6 
1.770370, 12, 0, 0, 0, 0, 9, 6 
1.770828, 14, 0, 0, 0, 0, 9, 7 
1.990496, 14, 0, 0, 0, 0, 10, 7 
1.991233, 16, 0, 0, 0, 0, 10, 8 
2.245647, 16, 0, 0, 0, 0, 11, 8 
2.245647, 18, 0, 0, 0, 0, 11, 9 
2.402868, 18, 0, 0, 0, 0, 12, 9 
2.402873, 20, 0, 0, 0, 0, 12, 10 
2.420745, 20, 0, 0, 0, 0, 13, 10 
2.420745, 22, 0, 0, 0, 0, 13, 11 
2.840842, 22, 0, 0, 0, 0, 14, 11 
2.843784, 24, 0, 0, 0, 0, 14, 12 
3.146727, 24, 0, 0, 0, 0, 15, 12 
3.147037, 26, 0, 0, 0, 0, 15, 13 
3.248408, 26, 0, 0, 0, 0, 16, 13 
3.252581, 28, 0, 0, 0, 0, 16, 14 
3.271032, 28, 0, 0, 0, 0, 17, 14 
3.271033, 30, 0, 0, 0, 0, 17, 15 
3.722147, 30, 0, 0, 0, 0, 18, 15 
3.722148, 32, 0, 0, 0, 0, 18, 16 
3.962817, 32, 0, 0, 0, 0, 19, 16 
3.962817, 34, 0, 0, 0, 0, 19, 17 
4.146193, 34, 0, 0, 0, 0, 20, 17 
4.146193, 36, 0, 0, 0, 0, 20, 18 
4.414290, 36, 0, 0, 0, 0, 21, 18 
4.414290, 38, 0, 0, 0, 0, 21, 19 
4.433463, 38, 0, 0, 0, 0, 22, 19 
4.543886, 38, 0, 0, 0, 0, 23, 19 
4.543886, 40, 0, 0, 0, 0, 23, 20 
4.682302, 40, 0, 0, 0, 0, 24, 20 
4.682983, 42, 0, 0, 0, 0, 24, 21 
4.714044, 42, 0, 0, 0, 0, 25, 21 
4.714044, 44, 0, 0, 0, 0, 25, 22 
4.778827, 44, 0, 0, 0, 0, 26, 22 
4.778827, 46, 0, 0, 0, 0, 26, 23 
4.812630, 46, 0, 0, 0, 0, 27, 23 
4.857917, 46, 0, 0, 0, 0, 28, 23 
4.857917, 48, 0, 0, 0, 0, 28, 24 
4.948322, 48, 0, 0, 0, 0, 29, 24 
4.948322, 50, 0, 0, 0, 0, 29, 25 
5.024579, 50, 0, 0, 0, 0, 30, 25 
5.024579, 52, 0, 0, 0, 0, 30, 26 
5.039481, 52, 0, 0, 0, 0, 31, 26 
5.039481, 54, 0, 0, 0, 0, 31, 27 
5.075156, 54, 0, 0, 0, 0, 32, 27 
5.075156, 56, 0, 0, 0, 0, 32, 28 
5.121326, 56, 0, 0, 0, 0, 33, 28 
5.121326, 58, 0, 0, 0, 0, 33, 29 
5.122812, 58, 0, 0, 0, 0, 34, 29 
5.122812, 60, 0, 0, 0, 0, 34, 30 
5.151689, 60, 0, 0, 0, 0, 35, 30 
5.168818, 60, 0, 0, 0, 0, 36, 30 
5.216741, 60, 0, 0, 0, 0, 37, 30 
5.216741, 62, 0, 0, 0, 0, 37, 31 
5.459444, 62, 0, 0, 0, 0, 38, 31 
5.459446, 64, 0, 0, 0, 0, 38, 32 
5.496331, 64, 0, 0, 0, 0, 39, 32 
5.496331, 66, 0, 0, 0, 0, 39, 33 
5.867359, 66, 0, 0, 0, 0, 40, 33 
5.867359, 68, 0, 0, 0, 0, 40, 34 
6.001705, 68, 0, 0, 0, 0, 41, 34 
6.001705, 70, 0, 0, 0, 0, 41, 35 
6.139678, 70, 0, 0, 0, 0, 42, 35 
6.139678, 72, 0, 0, 0, 0, 42, 36 
6.196772, 72, 0, 0, 0, 0, 43, 36 
6.196772, 74, 0, 0, 0, 0, 43, 37 
6.202792, 74, 0, 0, 0, 0, 44, 37 
6.202883, 76, 0, 0, 0, 0, 44, 38 
6.432777, 76, 0, 0, 0, 0, 45, 38 
6.432777, 78, 0, 0, 0, 0, 45, 39 
6.522793, 78, 0, 0, 0, 0, 46, 39 
6.522793, 80, 0, 0, 0, 0, 46, 40 
6.696753, 80, 0, 0, 0, 0, 47, 40 
6.697163, 82, 0, 0, 0, 0, 47, 41 
6.709786, 82, 0, 0, 0, 0, 48, 41 
6.709786, 84, 0, 0, 0, 0, 48, 42 
6.848632, 84, 0, 0, 0, 0, 49, 42 
6.848647, 86, 0, 0, 0, 0, 49, 43 
7.017951, 86, 0, 0, 0, 0, 50, 43 
7.017951, 88, 0, 0, 0, 0, 50, 44 
7.338745, 88, 0, 0, 0, 0, 51, 44 
7.338745, 90, 0, 0, 0, 0, 51, 45 
7.718508, 90, 0, 0, 0, 0, 52, 45 
7.718508, 92, 0, 0, 0, 0, 52, 46 
7.779221, 92, 0, 0, 0, 0, 53, 46 
7.779221, 94, 0, 0, 0, 0, 53, 47 
7.796866, 94, 0, 0, 0, 0, 54, 47 
7.796910, 96, 0, 0, 0, 0, 54, 48 
7.863203, 96, 0, 0, 0, 0, 55, 48 
7.863203, 98, 0, 0, 0, 0, 55, 49 
7.895609, 98, 0, 0, 0, 0, 56, 49 
7.899620, 98, 0, 0, 0, 0, 57, 49 
7.906003, 100, 0, 0, 0, 0, 57, 50 
7.945058, 100, 0, 0, 0, 0, 58, 50 
