Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.014761, 2, 0, 0, 0, 0, 2, 1 
0.015061, 4, 0, 0, 0, 0, 2, 2 
2.208472, 4, 0, 0, 0, 0, 3, 2 
2.208472, 6, 0, 0, 0, 0, 3, 3 
3.299874, 6, 0, 0, 0, 0, 4, 3 
3.299874, 8, 0, 0, 0, 0, 4, 4 
3.625095, 8, 0, 0, 0, 0, 5, 4 
3.625095, 10, 0, 0, 0, 0, 5, 5 
4.608394, 10, 0, 0, 0, 0, 6, 5 
4.608394, 12, 0, 0, 0, 0, 6, 6 
6.495804, 12, 0, 0, 0, 0, 7, 6 
6.495804, 14, 0, 0, 0, 0, 7, 7 
7.252453, 14, 0, 0, 0, 0, 8, 7 
7.252659, 16, 0, 0, 0, 0, 8, 8 
18.346113, 16, 0, 0, 0, 0, 9, 8 
18.346113, 18, 0, 0, 0, 0, 9, 9 
20.484395, 18, 0, 0, 0, 0, 10, 9 
20.484395, 20, 0, 0, 0, 0, 10, 10 
21.704049, 20, 0, 0, 0, 0, 11, 10 
21.704049, 22, 0, 0, 0, 0, 11, 11 
26.454871, 22, 0, 0, 0, 0, 12, 11 
26.454871, 24, 0, 0, 0, 0, 12, 12 
26.634020, 24, 0, 0, 0, 0, 13, 12 
26.634244, 26, 0, 0, 0, 0, 13, 13 
26.672535, 26, 0, 0, 0, 0, 14, 13 
26.672535, 28, 0, 0, 0, 0, 14, 14 
33.590382, 28, 0, 0, 0, 0, 15, 14 
33.590578, 30, 0, 0, 0, 0, 15, 15 
34.068614, 30, 0, 0, 0, 0, 16, 15 
34.068614, 32, 0, 0, 0, 0, 16, 16 
45.674161, 32, 0, 0, 0, 0, 17, 16 
45.753189, 34, 0, 0, 0, 0, 17, 17 
46.398719, 34, 0, 0, 0, 0, 18, 17 
46.400832, 36, 0, 0, 0, 0, 18, 18 
46.517217, 36, 0, 0, 0, 0, 19, 18 
46.517222, 38, 0, 0, 0, 0, 19, 19 
46.534477, 38, 0, 0, 0, 0, 20, 19 
46.534477, 40, 0, 0, 0, 0, 20, 20 
47.060059, 40, 0, 0, 0, 0, 21, 20 
47.064840, 42, 0, 0, 0, 0, 21, 21 
54.029516, 42, 0, 0, 0, 0, 22, 21 
54.029516, 44, 0, 0, 0, 0, 22, 22 
54.356366, 44, 0, 0, 0, 0, 23, 22 
54.356366, 46, 0, 0, 0, 0, 23, 23 
54.396227, 46, 0, 0, 0, 0, 24, 23 
54.396227, 48, 0, 0, 0, 0, 24, 24 
55.229464, 48, 0, 0, 0, 0, 25, 24 
55.229464, 50, 0, 0, 0, 0, 25, 25 
61.985968, 50, 0, 0, 0, 0, 26, 25 
61.985968, 52, 0, 0, 0, 0, 26, 26 
67.540776, 52, 0, 0, 0, 0, 27, 26 
67.540776, 54, 0, 0, 0, 0, 27, 27 
72.283686, 54, 0, 0, 0, 0, 28, 27 
72.283686, 56, 0, 0, 0, 0, 28, 28 
72.345464, 56, 0, 0, 0, 0, 29, 28 
72.345464, 58, 0, 0, 0, 0, 29, 29 
77.273605, 58, 0, 0, 0, 0, 30, 29 
77.273605, 60, 0, 0, 0, 0, 30, 30 
