Time, Num Carriers, CC CE, CC RE, #H C , #El C, #Ex C, #Ex D
0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.005040, 2, 0, 0, 0, 0, 2, 1 
0.275951, 2, 0, 0, 0, 0, 3, 1 
0.275951, 4, 0, 0, 0, 0, 3, 2 
0.285999, 4, 0, 0, 0, 0, 4, 2 
0.295816, 6, 0, 0, 0, 0, 4, 3 
0.462856, 6, 0, 0, 0, 0, 5, 3 
0.463285, 8, 0, 0, 0, 0, 5, 4 
0.467363, 10, 0, 0, 0, 0, 5, 5 
1.028233, 10, 0, 0, 0, 0, 6, 5 
1.030027, 12, 0, 0, 0, 0, 6, 6 
1.160576, 12, 0, 0, 0, 0, 7, 6 
1.243358, 14, 0, 0, 0, 0, 7, 7 
6.773463, 14, 0, 0, 0, 0, 8, 7 
6.773463, 16, 0, 0, 0, 0, 8, 8 
7.684421, 16, 0, 0, 0, 0, 9, 8 
7.684421, 18, 0, 0, 0, 0, 9, 9 
8.171272, 18, 0, 0, 0, 0, 10, 9 
8.171272, 20, 0, 0, 0, 0, 10, 10 
8.499100, 20, 0, 0, 0, 0, 11, 10 
8.499342, 22, 0, 0, 0, 0, 11, 11 
8.748398, 22, 0, 0, 0, 0, 12, 11 
8.748437, 24, 0, 0, 0, 0, 12, 12 
9.163678, 24, 0, 0, 0, 0, 13, 12 
9.163678, 26, 0, 0, 0, 0, 13, 13 
9.292491, 26, 0, 0, 0, 0, 14, 13 
9.292491, 28, 0, 0, 0, 0, 14, 14 
9.336792, 28, 0, 0, 0, 0, 15, 14 
9.336792, 30, 0, 0, 0, 0, 15, 15 
9.518333, 30, 0, 0, 0, 0, 16, 15 
9.776541, 32, 0, 0, 0, 0, 16, 16 
11.146745, 32, 0, 0, 0, 0, 17, 16 
11.146745, 34, 0, 0, 0, 0, 17, 17 
11.206872, 34, 0, 0, 0, 0, 18, 17 
11.206876, 36, 0, 0, 0, 0, 18, 18 
11.722796, 36, 0, 0, 0, 0, 19, 18 
11.722796, 38, 0, 0, 0, 0, 19, 19 
11.806942, 38, 0, 0, 0, 0, 20, 19 
12.048572, 38, 0, 0, 0, 0, 21, 19 
12.056493, 40, 0, 0, 0, 0, 21, 20 
12.499988, 40, 0, 0, 0, 0, 22, 20 
12.499988, 42, 0, 0, 0, 0, 22, 21 
14.752314, 42, 0, 0, 0, 0, 23, 21 
14.752314, 44, 0, 0, 0, 0, 23, 22 
15.806503, 44, 0, 0, 0, 0, 24, 22 
15.812795, 46, 0, 0, 0, 0, 24, 23 
16.295333, 46, 0, 0, 0, 0, 25, 23 
16.397102, 46, 0, 0, 0, 0, 26, 23 
16.397102, 48, 0, 0, 0, 0, 26, 24 
16.484424, 50, 0, 0, 0, 0, 26, 25 
17.135458, 50, 0, 0, 0, 0, 27, 25 
17.135458, 52, 0, 0, 0, 0, 27, 26 
17.154153, 52, 0, 0, 0, 0, 28, 26 
17.157188, 54, 0, 0, 0, 0, 28, 27 
17.712122, 54, 0, 0, 0, 0, 29, 27 
17.712122, 56, 0, 0, 0, 0, 29, 28 
19.097058, 56, 0, 0, 0, 0, 30, 28 
19.097058, 58, 0, 0, 0, 0, 30, 29 
19.134715, 58, 0, 0, 0, 0, 31, 29 
