0.000000, 0, 0, 0, 0, 0, 1, 0 
0.000000, 2, 0, 0, 0, 0, 1, 1 
0.000213, 2, 0, 0, 0, 0, 2, 1 
0.000365, 4, 0, 0, 0, 0, 2, 2 
0.003920, 4, 0, 0, 0, 0, 3, 2 
0.003920, 6, 0, 0, 0, 0, 3, 3 
0.020681, 6, 0, 0, 0, 0, 4, 3 
0.080235, 6, 0, 0, 0, 0, 5, 3 
0.131662, 8, 0, 0, 0, 0, 5, 4 
10.105367, 8, 0, 0, 0, 0, 6, 4 
10.105387, 10, 0, 0, 0, 0, 6, 5 
10.140106, 10, 0, 0, 0, 0, 7, 5 
10.140106, 12, 0, 0, 0, 0, 7, 6 
10.412281, 12, 0, 0, 0, 0, 8, 6 
10.412281, 14, 0, 0, 0, 0, 8, 7 
10.455825, 14, 0, 0, 0, 0, 9, 7 
10.455825, 16, 0, 0, 0, 0, 9, 8 
102.211032, 16, 0, 0, 0, 0, 10, 8 
102.211194, 18, 0, 0, 0, 0, 10, 9 
140.766069, 16, 0, 1, 0, 0, 10, 9 
296.389658, 16, 0, 1, 0, 0, 11, 9 
296.395567, 16, 0, 1, 0, 0, 12, 9 
296.404702, 18, 0, 1, 0, 0, 12, 10 
297.410126, 18, 0, 1, 0, 0, 13, 10 
297.410381, 20, 0, 1, 0, 0, 13, 11 
297.432405, 20, 0, 1, 0, 0, 14, 11 
297.474150, 22, 0, 1, 0, 0, 14, 12 
443.861103, 22, 0, 1, 0, 0, 15, 12 
443.883689, 24, 0, 1, 0, 0, 15, 13 
443.931266, 24, 0, 1, 0, 0, 16, 13 
443.931266, 26, 0, 1, 0, 0, 16, 14 
443.977169, 26, 0, 1, 0, 0, 17, 14 
443.977169, 28, 0, 1, 0, 0, 17, 15 
444.001453, 28, 0, 1, 0, 0, 18, 15 
444.019807, 30, 0, 1, 0, 0, 18, 16 
491.493978, 30, 0, 1, 0, 0, 19, 16 
491.956200, 32, 0, 1, 0, 0, 19, 17 
492.585211, 32, 0, 1, 0, 0, 20, 17 
492.585211, 34, 0, 1, 0, 0, 20, 18 
499.178150, 34, 0, 1, 0, 0, 21, 18 
499.178504, 36, 0, 1, 0, 0, 21, 19 
499.182031, 36, 0, 1, 0, 0, 22, 19 
499.182031, 38, 0, 1, 0, 0, 22, 20 
683.873444, 38, 0, 1, 0, 0, 23, 20 
683.874854, 40, 0, 1, 0, 0, 23, 21 
683.941073, 40, 0, 1, 0, 0, 24, 21 
683.941073, 42, 0, 1, 0, 0, 24, 22 
683.958256, 42, 0, 1, 0, 0, 25, 22 
683.958498, 44, 0, 1, 0, 0, 25, 23 
687.480803, 44, 0, 1, 0, 0, 26, 23 
687.482897, 46, 0, 1, 0, 0, 26, 24 
797.065636, 46, 0, 1, 0, 0, 27, 24 
807.894697, 46, 0, 1, 0, 0, 28, 24 
807.894720, 48, 0, 1, 0, 0, 28, 25 
808.014177, 48, 0, 1, 0, 0, 29, 25 
808.014177, 50, 0, 1, 0, 0, 29, 26 
880.665965, 50, 0, 1, 0, 0, 30, 26 
880.666752, 52, 0, 1, 0, 0, 30, 27 
881.521136, 52, 0, 1, 0, 0, 31, 27 
881.521136, 54, 0, 1, 0, 0, 31, 28 
881.553455, 54, 0, 1, 0, 0, 32, 28 
881.553455, 56, 0, 1, 0, 0, 32, 29 
